! | OTHER 3 OTHER: 5
% | PERSON 9 OTHER 48 OTHER: 88
&ur; | OTHER 1
'30s | OTHER 1
* | OTHER 1
, | OTHER: 2
. | OTHER 14 OTHER: 4
. . | OTHER 6
. . . | OTHER 1
.. | OTHER 8
.118 | OTHER: 1
.148 | OTHER: 1
.191 | OTHER: 1
.200 | OTHER: 1
.203 | OTHER 1
.208 | OTHER 1
.261 | OTHER: 1
.263 | OTHER 1
.300 | OTHER 1
.304 | OTHER 1
.316 | OTHER: 1
.383 | OTHER 1
.396 | OTHER 1
.5975 | OTHER 1
0 | OTHER 7 OTHER: 3
0.08 | OTHER 1
0.105 | OTHER 1
00 | OTHER: 1
00 p.m. | OTHER 1
01 | OTHER: 1
0311 | OTHER 1
04 | OTHER 2
05 | OTHER 1
0600 | OTHER 1
0700 gmt | OTHER 1
1 | PERSON 1 GPE 1 OTHER 51 OTHER: 12
1 a.d. | OTHER 1
1 b.c. | OTHER 1
1 billion | OTHER 8 OTHER: 3
1 million | OTHER 10 OTHER: 1
1 trillion | OTHER 1 OTHER: 1
1,000 | PERSON 1 OTHER 12
1,000 more | PERSON 1
1,095,500 3 | OTHER 1
1,100 | OTHER 1
1,187,800 79 | OTHER 1
1,200 | PERSON 1
1,366,900 57 | OTHER 1
1,377.36 | OTHER: 1
1,400 | PERSON: 1 OTHER: 1
1,401 | OTHER 1
1,500 | OTHER 3
1,800 | OTHER: 1
1,895 | OTHER: 1
1,900 | OTHER: 1
1. &ur; | OTHER 1
1. . . | OTHER 1
1.02 | OTHER 1
1.06 | OTHER 1 OTHER: 1
1.06 billion | OTHER 1
1.07 | OTHER: 1
1.1 billion | OTHER 2
1.10 | OTHER 2
1.16 | OTHER: 1
1.18 3/4 | OTHER 1
1.2 billion | OTHER 1
1.2 million | OTHER 1 OTHER: 1
1.23 | OTHER 1
1.25 | OTHER 1 OTHER: 2
1.26 billion | OTHER: 1
1.29 | OTHER 1
1.3 billion | OTHER 1
1.3 million | OTHER 1
1.3 trillion | OTHER 1
1.31 | OTHER 2
1.37 1/2 | OTHER 1
