! | OTHER 9 OTHER: 17
!! | OTHER: 3
!. | OTHER: 1
$ | OTHER: 2
% | PERSON 9 PERSON:Group 7 GPE:Nation 1 OTHER 143 OTHER: 66
'30s | OTHER 1
( | OTHER: 1
) | OTHER: 15
)! | OTHER: 1
* | OTHER 1 OTHER: 9
*** | OTHER: 1
, | OTHER 2
-- | OTHER: 1
. | OTHER 15 OTHER: 3
. . | OTHER 6
. . . | OTHER 1
.. | OTHER 7 OTHER: 7
.... | OTHER: 1
..... | OTHER: 1
...and | OTHER: 1
.05 | OTHER: 1
.118 | OTHER 1
.148 | OTHER 1
.191 | OTHER 1
.200 | OTHER 1
.203 | OTHER 1
.208 | OTHER 1
.261 | OTHER 1
.263 | OTHER 1
.300 | OTHER 1
.304 | OTHER 1
.316 | OTHER 1
.383 | OTHER 1
.396 | OTHER 1
.44 | OTHER: 1
.5975 | OTHER 1
/ | OTHER: 3
//corp.aol.com | OTHER 1
//members.aol.com | OTHER 1
//www.economist.com/displaystory.cfm | OTHER: 1
//www.tema.ru/roboty | OTHER 1
//www.uscourts.gov/links.html | OTHER 1
/mcmurry/spring98/21/justin.html | OTHER 1
0 | OTHER 10 OTHER: 5
0 + 0 | OTHER: 1
0. | OTHER: 1
0.05 | OTHER: 1
0.08 | OTHER 1
0.105 | OTHER 1
00 | OTHER 1 OTHER: 182
00 p.m. | OTHER 1
00est | OTHER: 1
01 | OTHER 1 OTHER: 34
01 feb 2005 18 | OTHER: 2
01t07 | OTHER: 1
01t22 | OTHER: 1
02 | OTHER: 62
02 dec 2004 16 | OTHER: 1
0244 | OTHER: 1
0275 | OTHER: 1
02t07 | OTHER: 1
03 | OTHER: 7
03 02 | OTHER: 1
0311 | OTHER 1
03t08 | OTHER: 1
03t09 | OTHER: 1
03t10 | OTHER: 1
03t13 | OTHER: 2
03t19 | OTHER: 1
03t21 | OTHER: 1
04 | OTHER 2 OTHER: 6
04t11 | OTHER: 1
04t13 | OTHER: 3
04t17 | OTHER: 1
05 | OTHER 1
05 +1100 | OTHER: 1
05 nov 2004 15 | OTHER: 1
0500 | OTHER: 1
05t09 | OTHER: 1
05t13 | OTHER: 2
05t15 | OTHER: 1
05t16 | OTHER: 1
05t19 | OTHER: 3
06 | OTHER: 9
06 dec 2004 10 | OTHER: 2
0600 | OTHER 1
06880 | OTHER: 1
06t07 | OTHER: 1
06t13 | OTHER: 2
06t19 | OTHER: 1
06t20 | OTHER: 1
07 | OTHER: 10
07 dec 2004 07 | OTHER: 1
07 dec 2004 09 | OTHER: 1
07 dec 2004 10 | OTHER: 1
0700 gmt | OTHER 1
07t07 | OTHER: 1
07t20 | OTHER: 1
08 | OTHER: 6
08 feb 2005 14 | OTHER: 1
0800 | OTHER: 1
08t11 | OTHER: 1
08t13 | OTHER: 1
08t15 | OTHER: 1
08t19 | OTHER: 1
08t20 | OTHER: 2
09 | OTHER: 9
09 feb 2005 01 | OTHER: 1
09 feb 2005 23 | OTHER: 1
09t07 | OTHER: 1
09t14 | OTHER: 1
09t16 | OTHER: 1
09t19 | OTHER: 2
1 | PERSON 1 GPE 1 OTHER 63 OTHER: 20
1 a.d. | OTHER 1
1 b.c. | OTHER 1
1 billion | OTHER 11 OTHER: 3
1 feb 2005 16 | OTHER: 2
1 million | OTHER 11 OTHER: 2
1 trillion | OTHER 2
1,000 | PERSON 1 PERSON:Group 1 OTHER 12 OTHER: 3
1,000 more | PERSON 1
1,095,500 3 | OTHER 1
1,100 | OTHER 1
1,178 | OTHER: 1
1,187,800 79 | OTHER 1
1,200 | PERSON 1
1,366,900 57 | OTHER 1
1,377.36 | OTHER 1
1,400 | PERSON 1 OTHER 1
1,401 | OTHER 1
1,500 | OTHER 3
1,700 | OTHER: 1
1,750 | OTHER: 1
1,800 | OTHER 1
1,895 | OTHER 1
1,900 | OTHER 1
1. | OTHER 1
1. . . | OTHER 1
1.02 | OTHER 1
1.06 | OTHER 2
1.06 billion | OTHER 1
1.07 | OTHER 1
1.1 billion | OTHER 2
1.10 | OTHER 2
1.16 | OTHER 1
1.18 3/4 | OTHER 1
1.2 billion | OTHER 1
1.2 million | OTHER 2 OTHER: 1
1.23 | OTHER 1
1.25 | OTHER 3
1.26 billion | OTHER 1
1.29 | OTHER 1
1.3 billion | OTHER 1
1.3 million | PERSON:Group 1 OTHER 1 OTHER: 1
1.3 trillion | OTHER 1
1.31 | OTHER 2
1.31 billion | OTHER: 1
1.37 1/2 | OTHER 1
1.38 | OTHER 1
1.4 million | OTHER 2
1.41 billion | OTHER 1
1.42 | OTHER 1
1.44 | OTHER 1
1.5 billion | OTHER 2
1.5 million | OTHER 1 OTHER: 1
1.54 | OTHER 1
1.55 billion | OTHER 1
1.6 billion | OTHER 1
1.6 million | OTHER 1
1.60 | OTHER: 1
1.7 | OTHER 1
1.7 billion | OTHER 2 OTHER: 1
1.75 | OTHER: 1
1.78 | OTHER: 1
1.8 billion | OTHER 2 OTHER: 2
1.8 million | OTHER 1
1.83 billion | OTHER 1
1.84 | OTHER 1
1.9 million | OTHER 1
1.90 | OTHER: 2
1.92/ | OTHER: 1
1/2 | OTHER: 1
1/6/2005 | OTHER: 1
10 | ORGANIZATION 1 PERSON 6 OTHER 35 OTHER: 28
10 billion | OTHER 1
10 feb 2005 02 | OTHER: 1
10 feb 2005 06 | OTHER: 1
10 feb 2005 08 | OTHER: 1
10 feb 2005 09 | OTHER: 3
10 feb 2005 10 | OTHER: 1
10 feb 2005 12 | OTHER: 1
10 million | OTHER 4 OTHER: 2
10 minutes. | OTHER: 1
10 trillion | OTHER 1
10,000 | OTHER 13 OTHER: 1
10,000,000 | OTHER 1
10,272 | OTHER 1
10,283 | PERSON 1
10,300 | OTHER 1
10,500 | OTHER: 1
10,818.71 | OTHER 1
10.1 million | OTHER 1
10.3 billion | OTHER: 1
10.7 billion | OTHER 1
10/31/2004 | OTHER: 1
100 | ORGANIZATION 1 PERSON 2 OTHER 6 OTHER: 5
100 billion | OTHER 1 OTHER: 1
100 million | OTHER 5 OTHER: 1
100,000 | OTHER 5
100,000+ | OTHER: 1
10000 | PERSON:Group 1
101 | OTHER 1 OTHER: 2
101st | ORGANIZATION:Government 1
102 | OTHER 1
103 | OTHER 3
1036 | OTHER 1
104.36 | OTHER 1
104.65 | OTHER 1
10440 | LOCATION:Address 1
105 million | OTHER: 1
106 | OTHER: 1
108 | OTHER 1
109 | OTHER: 1
10am | OTHER: 1
10s | OTHER: 2
10t07 | OTHER: 1
10t10 | OTHER: 1
10t21 | OTHER: 1
11 | PERSON 2 FACILITY:Building-Grounds 1 OTHER 25 OTHER: 43
11 billion | OTHER 1
11 feb 2005 01 | OTHER: 1
11 feb 2005 10 | OTHER: 1
11 feb 2005 17 | OTHER: 1
11 p.m. | OTHER 1
11,000 | PERSON 1
11,645 | PERSON 1
11,814,700 | OTHER 1
11.2 billion | OTHER 1
11.3 billion | OTHER 1
11.6 million | OTHER 1
11.95 million | OTHER 1
11.98 | OTHER 1
11/12/04 | OTHER: 1
11/15/00 | OTHER 1
11/16 | OTHER 2
11/2 million | OTHER 1
110 | OTHER 2
110 million | OTHER 1
110,000 | OTHER 2
1108705852.360452.268... | OTHER: 1
1109.55 | OTHER 1
112 million | OTHER: 1
116 | PERSON 1
116.5 million | OTHER 1
117 | PERSON 1
117.87 1/2 | OTHER 1
118 | PERSON 1
1189.76 | OTHER: 1
119 | OTHER 1
11t18 | OTHER: 1
12 | PERSON 1 OTHER 41 OTHER: 32
12 +0000 | OTHER: 1
12 games. | OTHER 1
12 million | OTHER 3
12,000 | PERSON:Group 1 OTHER 1
12,001 | OTHER 1
12,010 | OTHER 1
12,500 | OTHER 4 OTHER: 1
12,850 | OTHER 1
12.12 1/2 | OTHER 1
12.37 1/2 | OTHER 1
12.51 | OTHER 1
12.90 | OTHER 1
12.95 | OTHER 1
12/16/2004 10 | OTHER: 1
12/23/04 | OTHER: 1
120 | OTHER 1 OTHER: 1
120 million | OTHER 2
120,000 | OTHER: 1
121 | LOCATION:Address 1
1225.89 | OTHER: 1
123 billion | OTHER 1
125,000 | OTHER 1
126,373,773 | OTHER 1
1294 | OTHER 1
12t07 | OTHER: 1
12t14 | OTHER: 1
12t16 | OTHER: 1
12t17 | OTHER: 1
13 | PERSON 1 PERSON:Group 1 OTHER 19 OTHER: 27
13 billion | OTHER 1
13 trillion | OTHER 1
13.4 billion | OTHER 1
13.7 billion | OTHER 3
13.8 million | OTHER 1
130 million | OTHER 1
130,000 | OTHER 1
1300 | OTHER 2
131 | OTHER 1
132 | ORGANIZATION 1
133 million | OTHER 1
1334 | OTHER: 1
135,000 | OTHER 1
137 | OTHER 2 OTHER: 1
138 | OTHER 1
139 | OTHER 2
13t07 | OTHER: 1
13t14 | OTHER: 1
13t15 | OTHER: 1
13t21 | OTHER: 1
13th | OTHER 3
14 | PERSON:Group 1 OTHER 18 OTHER: 13
14 2004 09 | OTHER: 1
14 billion | OTHER 2
14 million | OTHER: 1
14,790 | OTHER 1
14.00 | OTHER: 1
14.5 billion | OTHER: 1
140 billion | OTHER 1
140 million | OTHER 1
140.8 million | OTHER 1
1400 | PERSON:Group 1
141 million | OTHER 1
1414 gmt | OTHER: 1
1430 | OTHER: 1
1447832 | OTHER: 1
145.50 | OTHER: 1
149 billion | OTHER 2
14t09 | OTHER: 1
14t12 | OTHER: 1
14t19 | OTHER: 1
14t21 | OTHER: 1
15 | ORGANIZATION:Sports 1 PERSON 1 OTHER 30 OTHER: 14
15 3/8 | OTHER 1
15 billion | OTHER 1
15 dec 2004 12 | OTHER: 1
15 dec 2004 13 | OTHER: 1
15 dec 2004 16 | OTHER: 1
15 feb 2005 22 | OTHER: 1
15 million | OTHER: 1
15 r.b.i | OTHER 1
15,000 | OTHER 4 OTHER: 1
15,201 | PERSON 1
15,300 | PERSON 1
15,995 | OTHER 1
15.15 | OTHER: 1
15.60 | OTHER 1
15.75 billion | OTHER 1
15/16 | OTHER 1
