% | 0 9
1 | 1 1
1,000 | 0 1
1,000 more | 0 1
1,200 | 0 1
1,400 | 0 1
10 | 1 6
10,283 | 0 1
100 | 1 2
11 | 0 2
11,000 | 1 0
11,645 | 0 1
116 | 0 1
117 | 0 1
118 | 0 1
12 | 0 1
13 | 0 1
132 | 0 1
15 | 0 1
15,201 | 0 1
15,300 | 0 1
155 | 0 1
16 | 0 3
17 | 0 3
18 | 0 1
19 | 0 4
2 | 0 1
2,500 | 0 1
2,776 | 0 1
20 | 0 1
20,000 | 1 0
200 | 0 1
20s | 0 1
22 | 0 2
23 | 0 2
24 | 0 2
25 | 0 1
25,000 | 1 0
250 | 0 1
26 | 0 1
260 | 0 1
27 | 0 2
28 | 0 1
29 | 0 1
3,896 | 0 1
34 | 0 1
35 | 0 1
36 | 0 1
360,000 | 0 1
368 | 1 0
39 | 0 7
39 more | 0 1
4 | 0 2
5,000 | 1 0
50,000 | 0 2
500 | 0 1
58 | 0 1
6000 | 1 0
605 | 0 1
65 | 0 2
67 | 0 1
68 | 0 1
7 | 0 1
747 | 0 1
76ers | 0 1
8,000 | 0 1
82 | 1 0
850,000 | 0 1
87 | 0 1
9,174 | 0 1
93 | 0 1
abductors | 0 1
absentee | 1 0
absentees | 1 0
abusers | 1 0
academies | 0 1
academy | 1 4
accountant | 0 1
accused | 0 3
accuser | 0 1
accusers | 0 5
acquirers | 1 0
acquisition | 0 2
acquisitions | 2 0
acre | 0 1
acres | 1 2
act | 0 1
activist | 1 4
activists | 11 7
actor | 2 3
actors | 2 10
actress | 0 3
actresses | 0 1
addict | 1 0
addicts | 1 0
address | 0 2
administration | 5 100
administrations | 0 2
administrator | 0 6
administrators | 1 1
admiral | 0 4
admirals | 0 1
admirer | 0 1
adolescents | 1 0
adult | 4 0
adults | 12 7
adversaries | 4 3
adversary | 1 2
advertisers | 4 3
adviser | 0 17
advisers | 5 12
advisor | 0 6
advisors | 2 7
advocate | 0 3
advocates | 2 6
aerospace | 0 1
agencies | 11 22
agency | 5 129
agent | 5 24
agents | 18 49
aggressor | 1 0
aggressors | 0 1
ahla | 0 1
aid | 1 0
aide | 0 14
aides | 16 27
aids | 2 0
aircraft | 2 0
airfield | 0 1
airline | 13 22
airliner | 0 1
airlines | 19 4
airplane | 1 1
airport | 5 12
airports | 7 3
airspace | 0 2
aisles | 0 1
alaska | 0 1
albanians | 1 16
alcoholic | 0 1
all | 6 21
alliance | 1 18
alliances | 2 2
allies | 5 22
allotments | 0 1
ally | 2 14
alternative | 0 1
alumni | 0 3
ambassador | 2 36
ambassadors | 0 2
ambulance | 0 2
ambulances | 3 1
americans | 21 34
amounts | 0 1
amputees | 1 0
analyst | 1 39
analysts | 35 72
ancestors | 1 0
anchor | 0 1
anchors | 1 1
angels | 0 2
anlayst | 0 1
announcer | 0 4
annuals | 1 0
anthropologist | 0 2
anthropologists | 1 2
any | 12 4
apartment | 1 38
apartments | 0 4
appalachians | 1 0
apples | 1 0
applicant | 2 0
appointees | 0 2
appointments | 1 0
apprentice | 1 0
aqueduct | 0 1
arabs | 0 1
arat | 0 1
arbiters | 0 1
archbishop | 0 3
archdiocese | 0 2
archipelago | 0 3
architect | 0 1
architects | 2 0
archives | 0 1
arctic | 0 1
area | 5 91
areas | 18 32
arena | 2 1
aristocracy | 1 0
aristocrat | 1 0
arm | 0 6
armada | 0 1
armies | 2 2
arms | 1 1
army | 4 26
arrows | 1 0
arsenal | 1 0
artery | 0 1
artist | 1 3
artistes | 1 0
artists | 14 3
ashcroft | 0 1
assailant | 0 1
assailants | 0 4
assassin | 0 1
assassins | 1 0
assembly | 2 7
assistant | 0 7
assistants | 1 4
associate | 0 6
associates | 1 13
association | 0 8
associations | 1 1
astronaut | 0 4
astronauts | 6 7
athlete | 4 6
athletes | 8 4
atrium | 0 1
attache | 0 3
attacker | 0 4
attackers | 1 9
attendant | 0 1
attendees | 1 0
attention | 0 1
attorney | 2 35
attorney general | 2 1
attorneys | 2 17
attraction | 0 2
au pair | 0 3
audience | 7 19
audiences | 8 1
auditorium | 0 3
auditors | 2 9
author | 0 12
authorities | 16 131
authority | 1 6
authors | 1 4
automaker | 0 3
automakers | 0 2
automobiles | 1 0
babes | 1 0
babies | 19 9
baby | 12 7
back | 0 2
backers | 4 0
backs | 0 1
backyard | 0 1
bairnts | 0 1
balcony | 0 1
balloonists | 0 1
ballroom | 0 2
band | 2 9
bands | 5 2
bank | 5 49
banker | 2 8
bankers | 4 6
banks | 38 38
bar | 7 0
barbie | 0 1
barents | 0 1
baron | 2 2
barons | 1 0
barrack | 0 1
barracks | 1 7
barricade | 0 2
barrier | 0 1
